#       n           ra          dec       rv      erv        i       vi      feh        r       xx        yy
#
       80  114.5117917   38.9004722  -21.630    1.310   17.461    1.145   -3.156    1.569   27.930   28.299
       81  114.5444583   38.8565278  -22.990    2.460   19.330    1.001   -1.487    1.580  -10.901  -38.815
       82  114.5695833   38.8766944  -21.920    2.260   16.886    1.253   -1.406    1.624  -40.769   -8.010
       83  114.5623333   38.8643333  -18.100    2.260   15.951    1.455   -1.856    1.640  -32.155  -26.890
       84  114.5557917   38.9053333  -26.980    2.590   19.627    0.985   -1.439    1.696  -24.363   35.721
       85  114.4995833   38.8870000  -18.270    2.390   19.105    0.993   -1.634    1.703   42.447    7.729
       86  114.5705000   38.8930556  -20.750    0.580   16.227    1.384   -3.423    1.768  -41.849   16.977
       87  114.4964167   38.8859167  -17.710    2.360   18.715    1.044   -1.483    1.839   46.212    6.076
       88  114.5097083   38.8586111  -24.020    2.280   17.292    1.201   -1.966    1.845   30.424  -35.629
       89  114.5727500   38.8679167  -18.670    2.270   17.229    1.180   -2.035    1.934  -44.539  -21.413
       90  114.5625833   38.8570556  -24.400    2.270   17.649    1.160   -1.505    1.957  -32.456  -38.004
       91  114.5757500   38.8710833  -21.680    1.110   17.544    1.158   -3.130    1.991  -48.104  -16.576
       92  114.5649167   38.8578889  -15.180    2.310   18.725    0.977   -1.917    1.993  -35.230  -36.731
       93  114.5649583   38.9061111  -18.900    2.290   18.275    1.083   -1.837    2.001  -35.256   36.912
       94  114.5731667   38.8659722  -18.070    2.290   18.286    1.036   -1.815    2.004  -45.036  -24.383
       95  114.5770000   38.8922222  -20.030    2.580   19.910    0.968   -1.820    2.036  -49.576   15.707
       95  114.5770000   38.8922222  -15.770    2.450   19.910    0.968   -1.660    2.036  -49.576   15.707
       96  114.5787500   38.8755000  -18.260    2.270   17.237    1.204   -1.885    2.058  -51.668   -9.829
       97  114.5526250   38.8503333   48.940    2.720   19.990    0.814   -0.742    2.058  -20.615  -48.273
       98  114.5735000   38.8640556  -17.450    2.330   19.055    1.020   -1.735    2.075  -45.434  -27.310
       99  114.4952500   38.8990833  -17.790    2.330   17.790    1.077   -1.182    2.142   47.590   26.184
      100  114.5742083   38.9016944   46.920    2.280   17.032    1.201   -1.329    2.164  -46.251   30.171
      101  114.4906667   38.8914722  -16.320    2.270   16.959    1.202   -1.473    2.169   53.043   14.563
      102  114.5407917   38.8459444  -26.050    0.920   15.761    1.507   -3.515    2.173   -6.542  -54.978
      103  114.5647917   38.8537500  -17.430    0.990   17.156    1.230   -3.215    2.176  -35.084  -43.052
      104  114.5776250   38.8977778  -17.700    1.160   17.409    1.186   -3.159    2.187  -50.315   24.192
      104  114.5776250   38.8978056  -19.900    2.280   17.409    1.186   -1.679    2.188  -50.315   24.234
      105  114.4886250   38.8827778  -24.720    2.330   17.816    1.122   -1.915    2.188   55.477    1.287
      105  114.4886250   38.8827778  -25.530    2.370   17.816    1.122   -1.864    2.188   55.477    1.287
      106  114.5818333   38.8876667  -28.740    2.270   15.909    1.471   -1.774    2.193  -55.324    8.753
      107  114.5756667   38.9011667  -16.560    2.560   19.591    0.982   -1.633    2.205  -47.985   29.366
      108  114.5698750   38.8562778  -17.490    2.420   19.347    1.006   -1.502    2.225  -41.128  -39.189
      108  114.5698750   38.8562778  -20.190    2.410   19.347    1.006   -1.481    2.225  -41.128  -39.189
      109  114.5705417   38.9070000  -20.750    1.040   16.849    1.242   -3.294    2.225  -41.891   38.272
      110  114.5833750   38.8802222  -27.000    2.290   17.987    1.103   -1.522    2.240  -57.163   -2.615
      111  114.5713750   38.8568056  -19.470    2.380   19.084    1.021   -1.704    2.255  -42.911  -38.383
      112  114.4911667   38.8658056  -18.050    2.280   16.595    1.305   -1.596    2.284   52.468  -24.634
      112  114.4911667   38.8658056  -17.880    2.480   16.595    1.305   -1.570    2.284   52.468  -24.634
      113  114.4898750   38.8663611  -20.990    2.390   19.232    1.017   -1.865    2.325   54.003  -23.785
      114  114.5855833   38.8851111  -12.780    2.510   19.812    0.959   -1.755    2.349  -59.784    4.853
      115  114.5842917   38.8700278  -19.160    2.280   17.866    1.130   -1.776    2.390  -58.261  -18.183
      116  114.5397500   38.8421389  -18.890    0.990   16.973    1.248   -3.259    2.395   -5.303  -60.789
      117  114.4924583   38.8601389  -16.920    2.710   19.935    0.961   -1.725    2.396   50.936  -33.289
      118  114.5750833   38.8564167  -19.910    2.280   18.138    1.103   -1.901    2.402  -47.321  -38.975
      119  114.4850000   38.8911111  -15.370    2.300   17.086    1.238   -1.725    2.420   59.779   14.016
      119  114.4850000   38.8911111  -15.210    2.270   17.086    1.238   -1.726    2.420   59.779   14.016
      120  114.5636667   38.9160278  -24.280    2.750   19.578    0.982   -1.197    2.434  -33.716   52.056
      121  114.4861667   38.8984167  -20.780    2.280   17.126    1.202   -1.794    2.506   58.387   25.172
      122  114.5871667   38.8955833  -21.840    2.330   18.922    1.042   -1.851    2.550  -61.657   20.846
      123  114.4808333   38.8794444  -18.690    2.440   19.246    1.037   -1.682    2.556   64.743   -3.799
      124  114.4853333   38.8648056  -18.730    2.280   17.698    1.160   -1.797    2.557   59.405  -26.157
      125  114.4825000   38.8704167  -21.530    2.300   17.831    1.145   -1.753    2.568   62.769  -17.587
      125  114.4825000   38.8704167  -19.100    2.290   17.831    1.145   -1.644    2.568   62.769  -17.587
      126  114.5050000   38.8441389  -21.520    2.290   17.898    1.138   -1.906    2.676   36.030  -57.729
      127  114.4777917   38.8834167  -20.690    2.510   19.680    1.000   -1.711    2.695   68.355    2.270
      128  114.5356667   38.8369444  -18.570    2.450   19.612    0.901   -1.388    2.698   -0.446  -68.722
      129  114.5582083   38.9240833  -23.200    1.110   17.641    1.164   -3.102    2.744  -27.227   64.356
      130  114.4852083   38.8563333  -20.640    0.690   16.456    1.341   -3.373    2.805   59.561  -39.096
      131  114.5950000   38.8744722  -30.500    2.270   17.466    1.177   -1.786    2.817  -70.989  -11.388
      132  114.5915000   38.8629722  -23.470    2.410   19.638    0.971   -1.733    2.854  -66.839  -28.953
      133  114.5984167   38.8751944  -21.790    2.680   19.822    0.967   -1.652    2.968  -75.051  -10.282
      133  114.5984167   38.8751944  -22.510    2.620   19.822    0.967   -1.320    2.968  -75.051  -10.282
      134  114.5800000   38.8466111  -19.530    2.270   17.365    1.204   -1.839    2.969  -53.176  -53.947
      134  114.5800000   38.8466111  -19.460    2.270   17.365    1.204   -1.814    2.969  -53.176  -53.947
      135  114.4750000   38.9006944  -18.760    2.350   18.664    1.057   -1.833    3.040   71.656   28.658
      136  114.5571667   38.8334722  -21.300    1.200   17.092    1.200   -3.240    3.079  -26.023  -74.022
      137  114.5605000   38.8333889   -4.130    2.290   17.985    1.071   -1.160    3.138  -29.988  -74.148
      138  114.5947500   38.8572222  -20.770    2.300   18.517    0.987   -1.935    3.141  -70.709  -37.732
      139  114.4919167   38.9228333  -18.470    0.710   16.911    1.220   -3.283    3.188   51.535   62.456
      140  114.4755417   38.9090833  -21.430    0.970   16.892    1.255   -3.279    3.238   71.004   41.469
      141  114.5365000   38.8278333  -21.030    2.500   19.655    0.980   -1.312    3.245   -1.438  -82.636
      142  114.5769583   38.8384167  -19.290    2.560   19.985    0.930   -1.349    3.251  -49.564  -66.463
      143  114.4635833   38.8853889  -22.110    2.320   18.272    1.122   -1.837    3.363   85.243    5.294
      144  114.5960833   38.8512500  -20.390    2.320   18.527    1.033   -1.551    3.377  -72.301  -46.851
      144  114.5960833   38.8512500  -22.090    2.320   18.527    1.033   -1.463    3.377  -72.301  -46.851
      145  114.6084167   38.8783611  -20.040    2.350   18.872    1.016   -1.596    3.414  -86.936   -5.437
      146  114.5757917   38.8313611  -21.510    2.310   18.866    1.021   -1.591    3.571  -48.181  -77.238
      147  114.5399167   38.9416667  -20.670    0.890   16.655    1.286   -3.334    3.591   -5.494   91.206
      148  114.5995417   38.8475833  -22.530    2.270   17.190    1.211   -1.871    3.634  -76.418  -52.448
      149  114.6024583   38.9140000  -21.270    2.470   19.549    0.989   -1.666    3.673  -79.812   48.983
      150  114.4729167   38.8431944  -31.810    2.830   19.942    0.959   -1.598    3.733   74.192  -59.152
      151  114.6120417   38.8585278  -23.010    2.380   19.129    1.020   -1.713    3.843  -91.271  -35.723
      152  114.6052500   38.9210833   16.420    2.630   19.655    0.978   -0.873    4.018  -83.121   59.803
      153  114.4525417   38.8557222  -22.420    2.330   18.673    0.999   -1.610    4.180   98.410  -40.001
      154  114.6131250   38.8453611  -18.860    2.520   19.915    0.962   -1.540    4.240  -92.576  -55.829
      155  114.4419167   38.8615000  -21.160    2.280   17.821    1.094   -1.617    4.538  111.037  -31.165
      156  114.5830000   38.8140000   18.900    2.520   19.661    0.867   -0.709    4.641  -56.770  -103.747
      157  114.4393333   38.9065556  -20.420    2.360   18.950    1.015   -1.659    4.726  114.036   37.645
      158  114.6311667   38.8533611  -21.600    2.280   17.598    1.172   -1.772    4.788  -114.023  -43.591
      159  114.6375417   38.8958889  -21.970    2.260   16.379    1.304   -1.452    4.841  -121.532   21.364
      160  114.6344583   38.9120556  -20.960    2.290   17.018    1.233   -1.530    4.964  -117.840   46.049
      161  114.4270417   38.8533056  -14.860    2.340   19.085    1.020   -1.769    5.348  128.740  -43.660
      162  114.4191250   38.8675000   13.430    2.270   16.840    1.190   -1.277    5.502  138.128  -21.971
      163  114.6332500   38.8299167  -21.680    2.430   19.249    1.006   -1.545    5.533  -116.539  -79.392
      164  114.4206667   38.8515833  -21.440    2.260   16.637    1.285   -1.909    5.663  136.325  -46.281
      165  114.6334583   38.8205278  -52.150    2.370   18.451    1.100   -0.993    5.877  -116.802  -93.730
      166  114.6710417   38.8738889  -18.550    2.320   17.867    1.053   -2.047    6.351  -161.399  -12.182
      167  114.6269583   38.7962500  -21.540    2.510   19.722    0.947   -1.514    6.686  -109.105  -130.814
      168  114.3875417   38.8610833  -25.760    2.600   19.637    0.950   -1.705    7.022  175.698  -31.716
      169  114.6782083   38.8280556  -160.540    2.740   19.925    0.828   -0.867    7.412  -170.029  -82.164
      170  114.3720833   38.8746389  -19.040    2.290   17.645    1.119   -1.941    7.644  194.043  -10.983
      171  114.6449167   38.7844722  -21.920    2.520   19.273    0.956   -0.822    7.769  -130.501  -148.778
      172  114.7006667   38.8054444   -5.180    2.500   19.690    0.968   -1.272    8.981  -196.810  -116.650
      173  114.3420833   38.8793056  -32.020    2.360   18.114    1.155   -0.977    9.033  229.695   -3.787
      174  114.3453750   38.8516389  -14.080    2.510   18.711    1.120   -1.519    9.064  225.870  -46.046
      175  114.6823750   38.7670833  -50.220    2.280   17.046    1.239   -1.127    9.728  -175.136  -175.270
      176  114.7061250   38.7730278  -49.260    2.280   17.281    1.238   -1.082   10.311  -203.398  -166.143
      177  114.7312083   38.7956389  -21.060    2.540   16.729    1.317   -1.052   10.511  -233.189  -131.552
      178  114.7364167   38.7317500  -22.240    2.530   19.340    0.876   -1.066   13.018  -239.603  -229.107

